kdkab	namakab	kdkec	namakec	kdkel	desakel	laki	perempuan	blm_kwn	kwn	cr_hdp	cr_mati	jml_duk
7301	SELAYAR	730108	TAKA BONERATE	7301082004	TAMBUNA	738	835	862	625	10	76	1573
7301	SELAYAR	730108	TAKA BONERATE	7301082005	JINATO	643	576	653	507	7	52	1219
7301	SELAYAR	730108	TAKA BONERATE	7301082006	RAJUNI	898	931	1005	735	11	78	1829
7301	SELAYAR	730108	TAKA BONERATE	7301082007	LATONDU	392	415	433	318	14	42	807
7301	SELAYAR	730108	TAKA BONERATE	7301082008	TARUPA	551	568	633	434	14	38	1119
7301	SELAYAR	730109	PASILAMBENA	7301092001	KALAOTOA	717	740	717	668	17	55	1457
7301	SELAYAR	730109	PASILAMBENA	7301092002	GARAUPA	748	824	809	666	8	89	1572
7301	SELAYAR	730109	PASILAMBENA	7301092003	LEMBANG MATENE	499	548	496	511	3	37	1047
7301	SELAYAR	730109	PASILAMBENA	7301092004	PULO MADU	759	739	795	622	13	68	1498
7301	SELAYAR	730109	PASILAMBENA	7301092005	KARUMPA	1010	1040	1136	807	14	93	2050
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102001	BONTOBULAENG	1384	1517	1446	1269	28	158	2901
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102002	BONTO BARU	548	601	508	547	23	71	1149
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102003	BONTOMALLING	678	715	659	635	15	84	1393
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102004	LEMBANG BAJI	515	505	490	483	9	38	1020
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102005	BONTOJATI	628	721	636	620	23	70	1349
7301	SELAYAR	730111	BUKI	7301112001	BUKI	493	524	504	437	6	70	1017
7301	SELAYAR	730111	BUKI	7301112002	LALANG BATA	503	580	515	471	11	86	1083
7301	SELAYAR	730111	BUKI	7301112003	BALANG BUTUNG	374	395	387	326	4	52	769
7301	SELAYAR	730111	BUKI	7301112004	KOHALA	462	499	454	446	7	54	961
7301	SELAYAR	730111	BUKI	7301112005	BONTOLEMPANGAN	529	546	492	532	5	46	1075
7301	SELAYAR	730111	BUKI	7301112006	MEKAR INDAH	461	515	488	430	0	58	976
7301	SELAYAR	730111	BUKI	7301112007	BUKI TIMUR	395	425	403	356	11	50	820
7302	BULUKUMBA	730201	GANTARANG	7302011001	MATTEKKO	2381	2524	2578	2161	14	152	4905
7302	BULUKUMBA	730201	GANTARANG	7302011002	JALANJANG	3141	3262	3130	3042	42	189	6403
7302	BULUKUMBA	730201	GANTARANG	7302011003	MARIORENNU	2809	2764	2733	2616	33	191	5573
7302	BULUKUMBA	730201	GANTARANG	7302012004	BIALO	1569	1783	1718	1454	33	147	3352
7302	BULUKUMBA	730201	GANTARANG	7302012005	BONTO MACINNA	2746	2908	2634	2696	46	278	5654
7302	BULUKUMBA	730201	GANTARANG	7302012006	GATTARENG	2280	2328	1968	2431	34	175	4608
7302	BULUKUMBA	730201	GANTARANG	7302012007	DAMPANG	2561	2625	2497	2464	51	174	5186
7302	BULUKUMBA	730201	GANTARANG	7302012008	BONTO SUNGGU	1452	1594	1510	1374	21	141	3046
7302	BULUKUMBA	730201	GANTARANG	7302012009	PALAMBARAE	2137	2124	1978	2138	28	117	4261
7302	BULUKUMBA	730201	GANTARANG	7302012010	BONTONYELENG	2433	2494	2137	2612	51	127	4927
7302	BULUKUMBA	730201	GANTARANG	7302012011	BENTENG MALEWANG	1477	1557	1428	1481	6	119	3034
7302	BULUKUMBA	730201	GANTARANG	7302012012	PADANG	2289	2426	2240	2302	36	137	4715
7302	BULUKUMBA	730201	GANTARANG	7302012013	BONTORAJA	2703	2776	2328	3030	21	100	5479
7302	BULUKUMBA	730201	GANTARANG	7302012014	PAENRE LAMPOE	2780	2870	2905	2564	32	149	5650
7302	BULUKUMBA	730201	GANTARANG	7302012015	BENTENG GATARENG	1818	1962	1754	1902	22	102	3780
7302	BULUKUMBA	730201	GANTARANG	7302012016	BUKIT HARAPAN	1897	1912	1681	2033	15	80	3809
7302	BULUKUMBA	730201	GANTARANG	7302012017	POLEWALI	4635	4469	4471	4357	51	225	9104
7302	BULUKUMBA	730201	GANTARANG	7302012018	BONTOMASILA	2078	2082	1916	2133	25	86	4160
7302	BULUKUMBA	730201	GANTARANG	7302012019	BAROMBONG	973	1050	1031	880	13	99	2023
7302	BULUKUMBA	730201	GANTARANG	7302012020	BUKIT TINGGI	1651	1663	1736	1402	38	138	3314
7302	BULUKUMBA	730201	GANTARANG	7302012021	TACCORONG	377	367	373	350	4	17	744
7302	BULUKUMBA	730202	UJUNG BULU	7302021001	TANAH KONGKONG	3470	3589	3771	2998	31	259	7059
7302	BULUKUMBA	730202	UJUNG BULU	7302021002	BENTENGNGE	2754	2903	3073	2243	46	295	5657
7302	BULUKUMBA	730202	UJUNG BULU	7302021003	TERANG-TERANG	1573	1659	1685	1368	21	158	3232
7302	BULUKUMBA	730202	UJUNG BULU	7302021004	KALUMEME	3738	3804	3862	3415	26	239	7542
7302	BULUKUMBA	730202	UJUNG BULU	7302021005	BINTARORE	2720	2766	2942	2292	41	211	5486
7302	BULUKUMBA	730202	UJUNG BULU	7302021006	KASIMPURENG	2250	2299	2419	1895	43	192	4549
7302	BULUKUMBA	730202	UJUNG BULU	7302021007	CAILE	7300	7383	7784	6516	59	324	14683
7302	BULUKUMBA	730202	UJUNG BULU	7302021008	L O K A	2993	3083	3148	2714	26	188	6076
7302	BULUKUMBA	730202	UJUNG BULU	7302021009	ELA ELA	2438	2494	2623	2121	34	154	4932
7302	BULUKUMBA	730203	BONTO BAHARI	7302031001	TANAH LEMO	2825	2898	2764	2702	25	232	5723
7302	BULUKUMBA	730203	BONTO BAHARI	7302031002	SAPOLOHE	3620	3705	3611	3347	34	333	7325
7302	BULUKUMBA	730203	BONTO BAHARI	7302031003	BENJALA	2367	2472	2173	2394	31	241	4839
7302	BULUKUMBA	730203	BONTO BAHARI	7302031004	TANAH BERU	1457	1443	1434	1339	20	107	2900
7302	BULUKUMBA	730203	BONTO BAHARI	7302032005	B I R A	1945	2157	2100	1736	38	228	4102
7302	BULUKUMBA	730203	BONTO BAHARI	7302032006	A R A	1674	1746	1635	1650	17	118	3420
7302	BULUKUMBA	730203	BONTO BAHARI	7302032007	DARUBIAH	1626	1871	1754	1518	22	203	3497
7302	BULUKUMBA	730203	BONTO BAHARI	7302032008	LEMBANNA	1381	1364	1265	1307	18	155	2745
7302	BULUKUMBA	730204	BONTOTIRO	7302041001	EKATIRO	2132	2361	2147	2099	32	215	4493
7302	BULUKUMBA	730204	BONTOTIRO	7302042002	DWI TIRO	1358	1395	1291	1336	12	114	2753
7302	BULUKUMBA	730204	BONTOTIRO	7302042003	TRITIRO	1380	1496	1363	1318	31	164	2876
7302	BULUKUMBA	730204	BONTOTIRO	7302042004	BATANG	1623	1799	1530	1709	24	159	3422
7302	BULUKUMBA	730204	BONTOTIRO	7302042005	BONTO TANGNGA	2139	2428	2296	1995	24	252	4567
7302	BULUKUMBA	730204	BONTOTIRO	7302042006	CARAMMING	2075	2292	2021	2082	35	229	4367
7302	BULUKUMBA	730204	BONTOTIRO	7302042007	TAMALANREA	1560	1679	1389	1671	17	162	3239
7302	BULUKUMBA	730204	BONTOTIRO	7302042008	BONTO BARUA	1016	1116	1002	1000	13	117	2132
7302	BULUKUMBA	730204	BONTOTIRO	7302042009	PAKUBALAHO	692	717	639	723	1	46	1409
7302	BULUKUMBA	730204	BONTOTIRO	7302042010	BONTU MARANNU	1124	1154	1064	1078	12	124	2278
7302	BULUKUMBA	730204	BONTOTIRO	7302042011	BONTO BULAENG	685	751	613	761	5	57	1436
7302	BULUKUMBA	730204	BONTOTIRO	7302042012	BUHUNG BUNDANG	1427	1501	1341	1414	19	154	2928
7302	BULUKUMBA	730204	BONTOTIRO	7302042013	LAMANDA	28	15	24	18	1	0	43
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302051001	TANUNTUNG	2560	2689	2518	2530	17	184	5249
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302051002	BONTO KAMASE	2809	3041	2862	2681	21	286	5850
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052003	KARASSING	1956	2098	1923	1899	19	213	4054
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052004	SINGA	2208	2478	2273	2206	20	187	4686
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052005	GUNTURU	2343	2508	2335	2312	23	181	4851
