kdkab	namakab	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	LAKI	PEREMP	BLM_SKLH	TDK_TM_SD	TM_SD	SLTP	SLTA	DIP_II	DIP_III	STR_I	STR_II	STR_III	JML_DUK
7301	SELAYAR	730106	PASIMASSUNGGU	7301062009	BONTOSAILE	351	390	250	149	275	41	26	0	0	0	0	0	741
7301	SELAYAR	730106	PASIMASSUNGGU	7301062011	TELUK KAMPE	5	8	5	0	6	2	0	0	0	0	0	0	13
7301	SELAYAR	730107	PASIMARANNU	7301072001	BONERATE	1460	1536	821	337	1126	407	258	17	13	17	0	0	2996
7301	SELAYAR	730107	PASIMARANNU	7301072002	MAJAPAHIT	1148	1198	718	215	879	305	189	18	8	13	1	0	2346
7301	SELAYAR	730107	PASIMARANNU	7301072003	BATU BINGKUNG	578	604	404	193	421	92	69	3	0	0	0	0	1182
7301	SELAYAR	730107	PASIMARANNU	7301072004	BONEA	555	566	364	141	422	95	86	10	1	1	1	0	1121
7301	SELAYAR	730107	PASIMARANNU	7301072005	LAMBEGO	406	400	332	90	277	60	35	5	3	3	0	1	806
7301	SELAYAR	730107	PASIMARANNU	7301072006	KOMBA-KOMBA	370	353	258	69	323	46	24	1	0	1	1	0	723
7301	SELAYAR	730107	PASIMARANNU	7301072007	LAMANTU	504	540	373	164	377	62	59	5	0	3	1	0	1044
7301	SELAYAR	730108	TAKA BONERATE	7301082001	KAYUADI	1342	1410	917	373	1185	148	111	8	4	6	0	0	2752
7301	SELAYAR	730108	TAKA BONERATE	7301082002	BATANG	881	934	620	269	615	134	131	13	4	27	2	0	1815
7301	SELAYAR	730108	TAKA BONERATE	7301082003	NYIUR INDAH	768	781	419	110	847	88	71	9	2	3	0	0	1549
7301	SELAYAR	730108	TAKA BONERATE	7301082004	TAMBUNA	738	835	394	603	393	102	74	2	0	5	0	0	1573
7301	SELAYAR	730108	TAKA BONERATE	7301082005	JINATO	643	576	298	226	578	62	46	2	3	3	1	0	1219
7301	SELAYAR	730108	TAKA BONERATE	7301082006	RAJUNI	898	931	499	561	604	88	67	5	1	4	0	0	1829
7301	SELAYAR	730108	TAKA BONERATE	7301082007	LATONDU	392	415	358	139	261	21	23	2	2	1	0	0	807
7301	SELAYAR	730108	TAKA BONERATE	7301082008	TARUPA	551	568	492	303	277	31	15	1	0	0	0	0	1119
7301	SELAYAR	730109	PASILAMBENA	7301092001	KALAOTOA	717	740	515	129	559	125	87	22	4	15	1	0	1457
7301	SELAYAR	730109	PASILAMBENA	7301092002	GARAUPA	748	824	648	137	532	169	73	4	4	5	0	0	1572
7301	SELAYAR	730109	PASILAMBENA	7301092003	LEMBANG MATENE	499	548	438	92	395	63	41	9	1	8	0	0	1047
7301	SELAYAR	730109	PASILAMBENA	7301092004	PULO MADU	759	739	531	139	612	135	62	9	2	8	0	0	1498
7301	SELAYAR	730109	PASILAMBENA	7301092005	KARUMPA	1010	1040	886	275	661	146	68	9	0	5	0	0	2050
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102001	BONTOBULAENG	1384	1517	761	393	1053	338	254	34	16	49	3	0	2901
