kdkab	namakab	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	DAK_LK	DAK_PR	DAK
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102003	BONTOMALLING	678	715	1393
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102004	LEMBANG BAJI	515	505	1020
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102005	BONTOJATI	628	721	1349
7301	SELAYAR	730111	BUKI	7301112001	BUKI	493	524	1017
7301	SELAYAR	730111	BUKI	7301112002	LALANG BATA	503	580	1083
7301	SELAYAR	730111	BUKI	7301112003	BALANG BUTUNG	374	395	769
7301	SELAYAR	730111	BUKI	7301112004	KOHALA	462	499	961
7301	SELAYAR	730111	BUKI	7301112005	BONTOLEMPANGAN	529	546	1075
7301	SELAYAR	730111	BUKI	7301112006	MEKAR INDAH	461	515	976
7301	SELAYAR	730111	BUKI	7301112007	BUKI TIMUR	395	425	820
