kdkab	namakab	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	LAKI	PEREMP	ISLAM	KRISTEN	KATHOLIK	HINDU	BUDHA	KONGHUCU	KEPERCAYAAN	JML_DUK
7301	SELAYAR	730107	PASIMARANNU	7301072004	BONEA	555	566	1120	1	0	0	0	0	0	1121
7301	SELAYAR	730107	PASIMARANNU	7301072005	LAMBEGO	406	400	806	0	0	0	0	0	0	806
7301	SELAYAR	730107	PASIMARANNU	7301072006	KOMBA-KOMBA	370	353	723	0	0	0	0	0	0	723
7301	SELAYAR	730107	PASIMARANNU	7301072007	LAMANTU	504	540	1044	0	0	0	0	0	0	1044
7301	SELAYAR	730108	TAKA BONERATE	7301082001	KAYUADI	1342	1410	2751	1	0	0	0	0	0	2752
7301	SELAYAR	730108	TAKA BONERATE	7301082002	BATANG	881	934	1815	0	0	0	0	0	0	1815
7301	SELAYAR	730108	TAKA BONERATE	7301082003	NYIUR INDAH	768	781	1548	1	0	0	0	0	0	1549
7301	SELAYAR	730108	TAKA BONERATE	7301082004	TAMBUNA	738	835	1573	0	0	0	0	0	0	1573
7301	SELAYAR	730108	TAKA BONERATE	7301082005	JINATO	643	576	1218	0	1	0	0	0	0	1219
7301	SELAYAR	730108	TAKA BONERATE	7301082006	RAJUNI	898	931	1829	0	0	0	0	0	0	1829
7301	SELAYAR	730108	TAKA BONERATE	7301082007	LATONDU	392	415	807	0	0	0	0	0	0	807
7301	SELAYAR	730108	TAKA BONERATE	7301082008	TARUPA	551	568	1119	0	0	0	0	0	0	1119
7301	SELAYAR	730109	PASILAMBENA	7301092001	KALAOTOA	717	740	1457	0	0	0	0	0	0	1457
7301	SELAYAR	730109	PASILAMBENA	7301092002	GARAUPA	748	824	1537	33	2	0	0	0	0	1572
7301	SELAYAR	730109	PASILAMBENA	7301092003	LEMBANG MATENE	499	548	1047	0	0	0	0	0	0	1047
7301	SELAYAR	730109	PASILAMBENA	7301092004	PULO MADU	759	739	1498	0	0	0	0	0	0	1498
7301	SELAYAR	730109	PASILAMBENA	7301092005	KARUMPA	1010	1040	2050	0	0	0	0	0	0	2050
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102001	BONTOBULAENG	1384	1517	2901	0	0	0	0	0	0	2901
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102002	BONTO BARU	548	601	1148	1	0	0	0	0	0	1149
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102003	BONTOMALLING	678	715	1393	0	0	0	0	0	0	1393
