kdkab	namakab	kdkec	namakec	kdkel	desakel	pra_sekolah	sd_sederajat	sltp_sederajat	slta_sederajat	perguruan_tinggi	
7301	SELAYAR	730109	PASILAMBENA	7301092001	KALAOTOA	129	219	108	79	918	
7301	SELAYAR	730109	PASILAMBENA	7301092002	GARAUPA	129	225	130	93	993	
7301	SELAYAR	730109	PASILAMBENA	7301092003	LEMBANG MATENE	88	157	86	46	667	
7301	SELAYAR	730109	PASILAMBENA	7301092004	PULO MADU	115	246	115	111	910	
7301	SELAYAR	730109	PASILAMBENA	7301092005	KARUMPA	199	357	182	116	1192	
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102001	BONTOBULAENG	179	418	184	139	1970	
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102002	BONTO BARU	78	147	57	50	811	
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102003	BONTOMALLING	87	201	103	60	938	
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102004	LEMBANG BAJI	89	138	70	47	672	
7301	SELAYAR	730110	PASIMASUNGGU TIMUR	7301102005	BONTOJATI	113	191	82	57	829	
7301	SELAYAR	730111	BUKI	7301112001	BUKI	55	101	65	56	734	
7301	SELAYAR	730111	BUKI	7301112002	LALANG BATA	70	121	65	57	759	
7301	SELAYAR	730111	BUKI	7301112003	BALANG BUTUNG	41	94	37	46	549	
7301	SELAYAR	730111	BUKI	7301112004	KOHALA	60	111	61	47	677	
7301	SELAYAR	730111	BUKI	7301112005	BONTOLEMPANGAN	62	115	57	47	788	
7301	SELAYAR	730111	BUKI	7301112006	MEKAR INDAH	64	134	45	57	605	
7301	SELAYAR	730111	BUKI	7301112007	BUKI TIMUR	58	107	62	42	450	
7302	BULUKUMBA	730201	GANTARANG	7302011001	MATTEKKO	405	495	275	225	3458
7302	BULUKUMBA	730201	GANTARANG	7302011002	JALANJANG	468	780	401	298	4406
7302	BULUKUMBA	730201	GANTARANG	7302011003	MARIORENNU	412	661	380	285	3801
7302	BULUKUMBA	730201	GANTARANG	7302012004	BIALO	246	326	161	150	2437
7302	BULUKUMBA	730201	GANTARANG	7302012005	BONTO MACINNA	292	482	274	261	4274
7302	BULUKUMBA	730201	GANTARANG	7302012006	GATTARENG	199	436	194	220	3537
7302	BULUKUMBA	730201	GANTARANG	7302012007	DAMPANG	336	514	318	242	3740
7302	BULUKUMBA	730201	GANTARANG	7302012008	BONTO SUNGGU	172	298	171	165	2198
7302	BULUKUMBA	730201	GANTARANG	7302012009	PALAMBARAE	286	405	264	216	3059
7302	BULUKUMBA	730201	GANTARANG	7302012010	BONTONYELENG	311	504	285	212	3589
7302	BULUKUMBA	730201	GANTARANG	7302012011	BENTENG MALEWANG	126	250	165	115	2367
7302	BULUKUMBA	730201	GANTARANG	7302012012	PADANG	269	399	282	217	3529
7302	BULUKUMBA	730201	GANTARANG	7302012013	BONTORAJA	304	502	253	225	4159
7302	BULUKUMBA	730201	GANTARANG	7302012014	PAENRE LAMPOE	395	647	336	316	3925
7302	BULUKUMBA	730201	GANTARANG	7302012015	BENTENG GATARENG	215	355	246	156	2794
7302	BULUKUMBA	730201	GANTARANG	7302012016	BUKIT HARAPAN	270	354	207	162	2792
7302	BULUKUMBA	730201	GANTARANG	7302012017	POLEWALI	727	1143	545	438	6181
7302	BULUKUMBA	730201	GANTARANG	7302012018	BONTOMASILA	257	450	241	174	3025
7302	BULUKUMBA	730201	GANTARANG	7302012019	BAROMBONG	115	201	90	95	1515
7302	BULUKUMBA	730201	GANTARANG	7302012020	BUKIT TINGGI	257	449	247	228	2115
7302	BULUKUMBA	730201	GANTARANG	7302012021	TACCORONG	89	82	51	41	451
7302	BULUKUMBA	730202	UJUNG BULU	7302021001	TANAH KONGKONG	492	763	409	350	4929
7302	BULUKUMBA	730202	UJUNG BULU	7302021002	BENTENGNGE	471	632	270	263	3923
7302	BULUKUMBA	730202	UJUNG BULU	7302021003	TERANG-TERANG	272	364	155	162	2221
7302	BULUKUMBA	730202	UJUNG BULU	7302021004	KALUMEME	576	895	458	370	5129
7302	BULUKUMBA	730202	UJUNG BULU	7302021005	BINTARORE	450	692	354	318	3638
7302	BULUKUMBA	730202	UJUNG BULU	7302021006	KASIMPURENG	418	575	247	222	3030
7302	BULUKUMBA	730202	UJUNG BULU	7302021007	CAILE	1122	1765	852	839	9938
7302	BULUKUMBA	730202	UJUNG BULU	7302021008	L O K A	469	659	319	299	4225
7302	BULUKUMBA	730202	UJUNG BULU	7302021009	ELA ELA	402	580	300	290	3285
7302	BULUKUMBA	730203	BONTO BAHARI	7302031001	TANAH LEMO	422	675	312	296	3966
7302	BULUKUMBA	730203	BONTO BAHARI	7302031002	SAPOLOHE	481	816	477	370	5062
7302	BULUKUMBA	730203	BONTO BAHARI	7302031003	BENJALA	300	556	337	201	3399
7302	BULUKUMBA	730203	BONTO BAHARI	7302031004	TANAH BERU	210	317	185	138	1990
7302	BULUKUMBA	730203	BONTO BAHARI	7302032005	B I R A	312	482	239	204	2758
7302	BULUKUMBA	730203	BONTO BAHARI	7302032006	A R A	181	338	177	190	2503
7302	BULUKUMBA	730203	BONTO BAHARI	7302032007	DARUBIAH	258	344	176	185	2405
7302	BULUKUMBA	730203	BONTO BAHARI	7302032008	LEMBANNA	173	265	118	138	2009
7302	BULUKUMBA	730204	BONTOTIRO	7302041001	EKATIRO	280	451	219	228	3203
7302	BULUKUMBA	730204	BONTOTIRO	7302042002	DWI TIRO	171	250	145	181	1970
7302	BULUKUMBA	730204	BONTOTIRO	7302042003	TRITIRO	187	286	181	147	1941
7302	BULUKUMBA	730204	BONTOTIRO	7302042004	BATANG	202	364	157	171	2483
7302	BULUKUMBA	730204	BONTOTIRO	7302042005	BONTO TANGNGA	229	394	283	277	3302
7302	BULUKUMBA	730204	BONTOTIRO	7302042006	CARAMMING	248	456	293	267	3090
7302	BULUKUMBA	730204	BONTOTIRO	7302042007	TAMALANREA	218	309	169	161	2322
7302	BULUKUMBA	730204	BONTOTIRO	7302042008	BONTO BARUA	142	236	158	138	1427
7302	BULUKUMBA	730204	BONTOTIRO	7302042009	PAKUBALAHO	98	139	112	67	976
7302	BULUKUMBA	730204	BONTOTIRO	7302042010	BONTU MARANNU	154	245	132	115	1599
7302	BULUKUMBA	730204	BONTOTIRO	7302042011	BONTO BULAENG	66	108	76	82	1093
7302	BULUKUMBA	730204	BONTOTIRO	7302042012	BUHUNG BUNDANG	223	333	153	132	2034
7302	BULUKUMBA	730204	BONTOTIRO	7302042013	LAMANDA	0	8	5	4	23
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302051001	TANUNTUNG	294	528	351	283	3723
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302051002	BONTO KAMASE	285	581	364	299	4266
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052003	KARASSING	209	465	304	235	2789
7302	BULUKUMBA	730205	HERO LANGE-LANGE	7302052004	SINGA	226	449	272	269	3391
